,precision,recall,f1-score,support
Applications Developer,0.05063291139240506,0.03636363636363636,0.042328042328042326,110
CRM Technical Developer,0.03260869565217391,0.02631578947368421,0.02912621359223301,114
Database Developer,0.08571428571428572,0.07758620689655173,0.08144796380090498,116
Mobile Applications Developer,0.07692307692307693,0.046296296296296294,0.057803468208092484,108
Network Security Engineer,0.07623318385650224,0.1349206349206349,0.09742120343839542,126
Software Developer,0.14960629921259844,0.16101694915254236,0.15510204081632653,118
Software Engineer,0.06666666666666667,0.07627118644067797,0.07114624505928854,118
Software Quality Assurance (QA) / Testing,0.07079646017699115,0.07017543859649122,0.07048458149779736,114
Systems Security Administrator,0.043478260869565216,0.044642857142857144,0.04405286343612335,112
Technical Support,0.09195402298850575,0.07079646017699115,0.08,113
UX Designer,0.041666666666666664,0.0423728813559322,0.04201680672268908,118
Web Developer,0.075,0.07894736842105263,0.07692307692307693,114
accuracy,0.07313540912382331,0.07313540912382331,0.07313540912382331,0.07313540912382331
macro avg,0.07177337750995313,0.07214214210311234,0.0706543754852475,1381
weighted avg,0.07202098847912419,0.07313540912382331,0.07123530608084098,1381
